#      x         y         z      atomnum  distance    energy 
     -0.00     -0.00    -14.00      4.00      6.00     -7.75 
     -0.00     -0.00    -12.00      5.00      8.01     -9.59 
     -0.00     -0.00    -10.00      6.00     10.01    -11.01 
      0.00     -0.00     -8.00      7.00     12.01    -10.44 
      0.00      0.00     -6.00      8.00     14.01    -10.65 
     -0.00      0.00     -4.00      9.00     16.01    -11.47 
     -0.00     -0.00     -2.00     10.00     18.01     -9.93 
      0.00     -0.00      0.00     11.00     20.01     -7.98 
     -0.00     -0.00      2.00     12.00     22.01     -7.24 
     -0.00     -0.00      4.00     13.00     24.01     -8.85 
     -0.00     -0.00      6.00     14.00     26.01    -10.27 
     -0.00      0.00      8.00     15.00     28.01     -9.98 
     -0.00      0.00     10.00     16.00     30.01     -9.57 
     -0.00     -0.00     12.00     17.00     32.01     -9.68 
      0.00      0.00     14.00     18.00     34.01     -8.30 
     -0.00      0.00     16.00     19.00     36.01     -7.33 
     -0.00      0.00     18.00     20.00     38.01     -7.16 
     -0.00      0.00     20.00     21.00     40.01     -5.89 
     -0.00      0.00     22.00     22.00     42.01     -5.96 
     -0.00      0.00     24.00     23.00     44.01     -5.52 
     -0.00      0.00     26.00     24.00     46.01     -4.55 
     -0.00      0.00     28.00     25.00     48.01     -4.23 
     -0.00      0.00     30.00     26.00     50.01     -3.97 
     -0.00      0.00     32.00     27.00     52.01     -2.54 
     -0.00      0.00     34.00     28.00     54.01     -2.59 
     -0.00      0.00     36.00     29.00     56.01     -2.75 
     -0.00      0.00     38.00     30.00     58.01     -3.52 
     -0.00      0.00     40.00     31.00     60.01     -5.09 
     -0.00      0.00     42.00     32.00     62.01     -7.25 
     -0.00      0.00     44.00     33.00     64.01     -9.48 
     -0.00      0.00     46.00     34.00     66.01    -11.17 
     -0.00      0.00     48.00     35.00     68.01    -12.43 
      0.00      0.00     50.00     36.00     68.01    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.00      3.00      4.01     -5.82 
     -0.00     -0.00    -14.00      4.00      6.01     -7.75 
     -0.00     -0.00    -12.00      5.00      8.01     -9.59 
     -0.00     -0.00    -10.00      6.00     10.01    -11.00 
      0.00     -0.00     -8.00      7.00     12.02    -10.44 
      0.00      0.00     -6.00      8.00     14.02    -10.65 
     -0.00      0.00     -4.00      9.00     16.02    -11.47 
     -0.00     -0.00     -2.00     10.00     18.03     -9.93 
      0.00     -0.00      0.00     11.00     20.02     -7.98 
     -0.00     -0.00      2.00     12.00     22.02     -7.24 
     -0.00     -0.00      4.00     13.00     24.03     -8.85 
     -0.00     -0.00      6.00     14.00     26.03    -10.27 
     -0.00      0.00      8.00     15.00     28.03     -9.98 
     -0.00      0.00     10.00     16.00     30.03     -9.57 
     -0.00     -0.00     12.00     17.00     32.03     -9.68 
      0.00      0.00     14.00     18.00     34.03     -8.29 
     -0.00      0.00     16.00     19.00     36.03     -7.33 
     -0.00      0.00     18.00     20.00     38.03     -7.16 
     -0.00      0.00     20.00     21.00     40.03     -5.89 
     -0.00      0.00     22.00     22.00     42.03     -5.96 
     -0.00      0.00     24.00     23.00     44.03     -5.52 
     -0.00      0.00     26.00     24.00     46.03     -4.55 
     -0.00      0.00     28.00     25.00     48.03     -4.23 
     -0.00      0.00     30.00     26.00     50.03     -3.97 
     -0.00      0.00     32.00     27.00     52.03     -2.54 
     -0.00      0.00     34.00     28.00     54.03     -2.59 
     -0.00      0.00     36.00     29.00     56.03     -2.75 
     -0.00      0.00     38.00     30.00     58.03     -3.52 
     -0.00      0.00     40.00     31.00     60.03     -5.09 
     -0.00      0.00     42.00     32.00     62.03     -7.25 
     -0.00      0.00     44.00     33.00     64.03     -9.48 
     -0.00      0.00     46.00     34.00     66.03    -11.17 
     -0.00      0.00     48.00     35.00     68.03    -12.43 
      0.00      0.00     50.00     36.00     68.03    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.01      3.00      4.01     -5.81 
     -0.00     -0.00    -14.00      4.00      6.01     -7.75 
     -0.01     -0.00    -12.00      5.00      8.02     -9.58 
     -0.00     -0.00    -10.00      6.00     10.02    -11.00 
      0.00     -0.00     -8.00      7.00     12.03    -10.44 
      0.00      0.00     -6.00      8.00     14.04    -10.65 
     -0.00      0.00     -4.00      9.00     16.04    -11.47 
     -0.00     -0.00     -2.00     10.00     18.04     -9.93 
      0.00     -0.00      0.00     11.00     20.04     -7.98 
     -0.00     -0.00      2.00     12.00     22.04     -7.24 
     -0.00     -0.00      4.00     13.00     24.04     -8.85 
     -0.00     -0.00      6.00     14.00     26.04    -10.27 
     -0.00      0.00      8.00     15.00     28.04     -9.98 
     -0.00      0.00     10.00     16.00     30.05     -9.57 
     -0.00     -0.00     12.00     17.00     32.05     -9.68 
      0.00      0.00     14.00     18.00     34.04     -8.29 
     -0.00      0.00     16.00     19.00     36.05     -7.33 
     -0.00      0.00     18.00     20.00     38.05     -7.16 
     -0.00      0.00     20.00     21.00     40.05     -5.89 
     -0.00      0.00     22.00     22.00     42.05     -5.96 
     -0.00      0.00     24.00     23.00     44.05     -5.52 
     -0.00      0.00     26.00     24.00     46.05     -4.55 
     -0.00      0.00     28.00     25.00     48.05     -4.23 
     -0.00      0.00     30.00     26.00     50.05     -3.97 
     -0.00      0.00     32.00     27.00     52.05     -2.54 
     -0.00      0.00     34.00     28.00     54.05     -2.59 
     -0.00      0.00     36.00     29.00     56.04     -2.75 
     -0.00      0.00     38.00     30.00     58.04     -3.52 
     -0.00      0.00     40.00     31.00     60.04     -5.09 
     -0.00      0.00     42.00     32.00     62.04     -7.25 
     -0.00      0.00     44.00     33.00     64.04     -9.48 
     -0.00      0.00     46.00     34.00     66.05    -11.17 
     -0.00      0.00     48.00     35.00     68.05    -12.43 
      0.00      0.00     50.00     36.00     68.05    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.01      3.00      4.01     -5.80 
     -0.00     -0.00    -14.00      4.00      6.02     -7.74 
     -0.01     -0.01    -12.00      5.00      8.03     -9.57 
     -0.01     -0.01    -10.00      6.00     10.04    -10.99 
      0.00     -0.00     -8.00      7.00     12.04    -10.44 
      0.00      0.00     -6.00      8.00     14.05    -10.65 
     -0.00      0.00     -4.00      9.00     16.06    -11.46 
     -0.00     -0.00     -1.99     10.00     18.06     -9.92 
      0.00     -0.00      0.00     11.00     20.06     -7.98 
     -0.00     -0.00      2.00     12.00     22.06     -7.24 
     -0.00     -0.00      4.00     13.00     24.06     -8.85 
     -0.00     -0.00      6.00     14.00     26.07    -10.27 
     -0.00      0.00      8.00     15.00     28.06     -9.98 
     -0.00      0.00     10.00     16.00     30.07     -9.57 
     -0.00     -0.00     12.00     17.00     32.07     -9.68 
      0.00      0.00     14.00     18.00     34.07     -8.29 
     -0.00      0.00     16.00     19.00     36.07     -7.33 
     -0.00      0.00     18.00     20.00     38.07     -7.16 
     -0.00      0.00     20.00     21.00     40.07     -5.89 
     -0.00      0.00     22.00     22.00     42.07     -5.96 
     -0.00      0.00     24.00     23.00     44.07     -5.52 
     -0.00      0.00     26.00     24.00     46.07     -4.55 
     -0.00      0.00     28.00     25.00     48.07     -4.23 
     -0.00      0.00     30.00     26.00     50.07     -3.97 
     -0.00      0.00     32.00     27.00     52.07     -2.54 
     -0.00      0.00     34.00     28.00     54.07     -2.59 
     -0.00      0.00     36.00     29.00     56.07     -2.75 
     -0.00      0.00     38.00     30.00     58.06     -3.52 
     -0.00      0.00     39.99     31.00     60.06     -5.09 
     -0.00      0.00     41.99     32.00     62.07     -7.24 
     -0.00      0.00     44.00     33.00     64.07     -9.48 
     -0.00      0.00     46.00     34.00     66.07    -11.17 
     -0.00      0.00     48.00     35.00     68.07    -12.43 
      0.00      0.00     50.00     36.00     68.07    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.01      3.00      4.02     -5.80 
     -0.01     -0.01    -14.01      4.00      6.03     -7.74 
     -0.01     -0.01    -12.00      5.00      8.04     -9.56 
     -0.01     -0.01    -10.00      6.00     10.05    -10.99 
      0.00     -0.01     -8.00      7.00     12.06    -10.43 
      0.01      0.00     -6.00      8.00     14.08    -10.65 
     -0.00      0.00     -3.99      9.00     16.08    -11.46 
     -0.00     -0.01     -1.99     10.00     18.09     -9.92 
      0.00     -0.00      0.00     11.00     20.08     -7.98 
     -0.00     -0.00      2.00     12.00     22.08     -7.24 
     -0.00     -0.00      3.99     13.00     24.09     -8.85 
     -0.00     -0.00      6.00     14.00     26.09    -10.27 
     -0.00      0.00      8.00     15.00     28.09     -9.98 
     -0.00      0.00     10.00     16.00     30.10     -9.57 
     -0.00     -0.00     12.00     17.00     32.10     -9.68 
      0.00      0.00     14.00     18.00     34.09     -8.29 
     -0.00      0.00     16.00     19.00     36.10     -7.33 
     -0.00      0.00     18.00     20.00     38.10     -7.16 
     -0.00      0.00     20.00     21.00     40.10     -5.89 
     -0.00      0.00     22.00     22.00     42.10     -5.96 
     -0.00      0.00     24.00     23.00     44.10     -5.52 
     -0.00      0.00     26.00     24.00     46.10     -4.55 
     -0.00      0.00     28.00     25.00     48.10     -4.23 
     -0.00      0.00     30.00     26.00     50.10     -3.96 
     -0.00      0.00     32.00     27.00     52.10     -2.54 
     -0.00      0.00     34.00     28.00     54.10     -2.59 
     -0.00      0.00     36.00     29.00     56.09     -2.75 
     -0.00      0.00     38.00     30.00     58.09     -3.51 
     -0.00      0.00     39.99     31.00     60.09     -5.08 
     -0.00      0.00     41.99     32.00     62.09     -7.24 
     -0.00      0.00     43.99     33.00     64.09     -9.48 
     -0.00      0.00     45.99     34.00     66.10    -11.17 
     -0.00      0.00     48.00     35.00     68.10    -12.43 
      0.00      0.00     50.00     36.00     68.10    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      1.99     -5.07 
      0.00      0.00    -16.02      3.00      4.03     -5.78 
     -0.01     -0.01    -14.01      4.00      6.04     -7.73 
     -0.01     -0.01    -12.01      5.00      8.05     -9.55 
     -0.01     -0.01    -10.00      6.00     10.07    -10.98 
      0.00     -0.01     -8.00      7.00     12.08    -10.43 
      0.01      0.00     -6.01      8.00     14.10    -10.65 
     -0.01      0.00     -3.99      9.00     16.11    -11.46 
     -0.00     -0.01     -1.99     10.00     18.12     -9.91 
      0.00     -0.00      0.01     11.00     20.11     -7.98 
     -0.00     -0.00      2.00     12.00     22.11     -7.23 
     -0.00     -0.00      3.99     13.00     24.12     -8.84 
     -0.00     -0.00      6.00     14.00     26.12    -10.27 
     -0.00      0.00      8.00     15.00     28.12     -9.98 
     -0.00      0.00     10.00     16.00     30.13     -9.57 
     -0.00     -0.00     12.01     17.00     32.13     -9.68 
      0.00      0.00     14.01     18.00     34.13     -8.29 
     -0.00      0.00     16.00     19.00     36.13     -7.33 
     -0.00      0.00     18.01     20.00     38.13     -7.16 
     -0.00      0.00     20.00     21.00     40.13     -5.89 
     -0.00      0.00     22.00     22.00     42.13     -5.96 
     -0.00      0.00     24.00     23.00     44.13     -5.52 
     -0.00      0.00     26.00     24.00     46.13     -4.55 
     -0.00      0.00     28.00     25.00     48.13     -4.23 
     -0.00      0.00     30.01     26.00     50.13     -3.96 
     -0.00      0.00     32.00     27.00     52.13     -2.54 
     -0.00      0.00     34.00     28.00     54.13     -2.59 
     -0.00      0.00     36.00     29.00     56.12     -2.75 
     -0.00      0.00     37.99     30.00     58.12     -3.51 
     -0.00      0.00     39.99     31.00     60.12     -5.08 
     -0.00      0.00     41.99     32.00     62.12     -7.24 
     -0.00      0.00     43.99     33.00     64.13     -9.47 
     -0.00      0.00     45.99     34.00     66.13    -11.17 
     -0.00      0.00     48.00     35.00     68.14    -12.43 
      0.00      0.00     50.00     36.00     68.14    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      1.99     -5.07 
      0.01      0.00    -16.02      3.00      4.03     -5.77 
     -0.01     -0.01    -14.01      4.00      6.05     -7.72 
     -0.02     -0.02    -12.01      5.00      8.06     -9.53 
     -0.01     -0.02    -10.00      6.00     10.09    -10.97 
      0.01     -0.01     -8.00      7.00     12.10    -10.43 
      0.01      0.00     -6.01      8.00     14.13    -10.65 
     -0.01      0.00     -3.99      9.00     16.15    -11.45 
     -0.01     -0.01     -1.99     10.00     18.15     -9.90 
      0.00     -0.00      0.01     11.00     20.14     -7.97 
     -0.00     -0.00      1.99     12.00     22.14     -7.23 
     -0.00     -0.00      3.99     13.00     24.15     -8.84 
     -0.00     -0.00      6.00     14.00     26.16    -10.27 
     -0.00      0.00      8.00     15.00     28.16     -9.98 
     -0.00      0.00     10.00     16.00     30.17     -9.57 
     -0.00     -0.00     12.01     17.00     32.17     -9.67 
      0.00      0.00     14.01     18.00     34.16     -8.29 
     -0.00      0.00     16.00     19.00     36.17     -7.33 
     -0.00      0.00     18.01     20.00     38.16     -7.15 
     -0.00      0.00     20.00     21.00     40.17     -5.89 
     -0.00      0.00     22.00     22.00     42.17     -5.96 
     -0.00      0.00     24.01     23.00     44.17     -5.52 
     -0.00      0.00     26.00     24.00     46.17     -4.55 
     -0.00      0.00     28.00     25.00     48.17     -4.23 
     -0.00      0.00     30.01     26.00     50.17     -3.96 
     -0.00      0.00     32.00     27.00     52.17     -2.54 
     -0.00      0.00     34.00     28.00     54.16     -2.59 
     -0.00      0.00     36.00     29.00     56.16     -2.75 
     -0.00      0.00     37.99     30.00     58.16     -3.51 
     -0.00      0.00     39.99     31.00     60.16     -5.08 
     -0.00      0.00     41.99     32.00     62.16     -7.23 
     -0.00      0.00     43.99     33.00     64.16     -9.47 
     -0.00      0.00     45.99     34.00     66.17    -11.16 
     -0.00      0.00     48.00     35.00     68.17    -12.43 
      0.00      0.00     50.00     36.00     68.17    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.01    -18.00      2.00      1.99     -5.06 
      0.01      0.00    -16.02      3.00      4.04     -5.76 
     -0.01     -0.01    -14.01      4.00      6.06     -7.71 
     -0.02     -0.02    -12.01      5.00      8.08     -9.52 
     -0.02     -0.02    -10.00      6.00     10.11    -10.95 
      0.01     -0.01     -8.00      7.00     12.12    -10.43 
      0.01      0.00     -6.01      8.00     14.16    -10.65 
     -0.01      0.00     -3.99      9.00     16.18    -11.45 
     -0.01     -0.01     -1.98     10.00     18.19     -9.89 
      0.00     -0.00      0.01     11.00     20.18     -7.97 
     -0.00     -0.00      1.99     12.00     22.18     -7.23 
     -0.00     -0.00      3.99     13.00     24.19     -8.84 
     -0.00     -0.00      6.00     14.00     26.20    -10.27 
     -0.00      0.00      8.00     15.00     28.20     -9.98 
     -0.00      0.00     10.00     16.00     30.21     -9.57 
     -0.00     -0.00     12.01     17.00     32.21     -9.67 
      0.00      0.00     14.01     18.00     34.20     -8.29 
     -0.00      0.00     16.00     19.00     36.21     -7.33 
     -0.00      0.00     18.01     20.00     38.21     -7.15 
     -0.00      0.00     20.00     21.00     40.21     -5.89 
     -0.00      0.00     22.00     22.00     42.21     -5.96 
     -0.00      0.00     24.01     23.00     44.21     -5.52 
     -0.00      0.00     26.00     24.00     46.21     -4.55 
     -0.00      0.00     28.00     25.00     48.22     -4.23 
     -0.00      0.00     30.01     26.00     50.21     -3.96 
     -0.00      0.00     32.00     27.00     52.21     -2.54 
     -0.00      0.00     34.00     28.00     54.21     -2.59 
     -0.00      0.00     36.00     29.00     56.20     -2.75 
     -0.00      0.00     37.99     30.00     58.20     -3.51 
     -0.00      0.00     39.98     31.00     60.20     -5.08 
     -0.00      0.00     41.98     32.00     62.20     -7.23 
     -0.00      0.00     43.99     33.00     64.20     -9.47 
     -0.00      0.00     45.99     34.00     66.21    -11.16 
     -0.00      0.00     47.99     35.00     68.22    -12.43 
      0.00      0.00     50.00     36.00     68.22    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.01     -0.01    -17.99      2.00      1.99     -5.06 
      0.01      0.00    -16.03      3.00      4.05     -5.74 
     -0.02     -0.01    -14.01      4.00      6.07     -7.70 
     -0.03     -0.03    -12.01      5.00      8.10     -9.50 
     -0.02     -0.03    -10.00      6.00     10.13    -10.94 
      0.01     -0.02     -8.00      7.00     12.15    -10.42 
      0.02      0.00     -6.01      8.00     14.20    -10.65 
     -0.01      0.00     -3.99      9.00     16.22    -11.45 
     -0.01     -0.01     -1.98     10.00     18.23     -9.88 
      0.00     -0.01      0.01     11.00     20.22     -7.97 
     -0.00     -0.00      1.99     12.00     22.22     -7.23 
     -0.00     -0.00      3.98     13.00     24.23     -8.83 
     -0.00     -0.00      6.00     14.00     26.25    -10.27 
     -0.00      0.00      8.00     15.00     28.24     -9.98 
     -0.00      0.00     10.00     16.00     30.26     -9.57 
     -0.00     -0.00     12.01     17.00     32.26     -9.67 
      0.00      0.00     14.01     18.00     34.25     -8.29 
     -0.00      0.00     16.00     19.00     36.26     -7.33 
     -0.00      0.00     18.01     20.00     38.25     -7.15 
     -0.00      0.00     20.00     21.00     40.25     -5.89 
     -0.00      0.00     22.00     22.00     42.26     -5.96 
     -0.00      0.00     24.01     23.00     44.26     -5.51 
     -0.00      0.00     26.00     24.00     46.26     -4.55 
     -0.00      0.00     28.00     25.00     48.27     -4.23 
     -0.00      0.00     30.01     26.00     50.26     -3.96 
     -0.00      0.00     32.00     27.00     52.26     -2.54 
     -0.00      0.00     34.00     28.00     54.25     -2.59 
     -0.00      0.00     36.00     29.00     56.25     -2.75 
     -0.00      0.00     37.99     30.00     58.24     -3.51 
     -0.00      0.00     39.98     31.00     60.24     -5.07 
     -0.00      0.00     41.98     32.00     62.24     -7.22 
     -0.00      0.00     43.98     33.00     64.25     -9.47 
     -0.00      0.00     45.99     34.00     66.26    -11.16 
     -0.00      0.00     47.99     35.00     68.27    -12.43 
      0.00      0.00     50.00     36.00     68.27    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.01     -0.01    -17.99      2.00      1.99     -5.06 
      0.01      0.00    -16.04      3.00      4.06     -5.73 
     -0.02     -0.02    -14.02      4.00      6.09     -7.69 
     -0.04     -0.03    -12.01      5.00      8.12     -9.48 
     -0.02     -0.03    -10.00      6.00     10.16    -10.93 
      0.01     -0.02     -8.00      7.00     12.18    -10.42 
      0.02      0.00     -6.01      8.00     14.24    -10.65 
     -0.01      0.00     -3.98      9.00     16.27    -11.44 
     -0.01     -0.02     -1.98     10.00     18.28     -9.87 
      0.00     -0.01      0.02     11.00     20.26     -7.97 
     -0.00     -0.00      1.99     12.00     22.26     -7.23 
     -0.01     -0.00      3.98     13.00     24.28     -8.83 
     -0.00     -0.00      6.00     14.00     26.30    -10.27 
     -0.00      0.00      8.01     15.00     28.29     -9.98 
     -0.00      0.00     10.00     16.00     30.31     -9.57 
     -0.00     -0.00     12.01     17.00     32.31     -9.67 
      0.00      0.00     14.01     18.00     34.30     -8.29 
     -0.00      0.00     16.00     19.00     36.31     -7.33 
     -0.00      0.00     18.01     20.00     38.30     -7.15 
     -0.00      0.00     20.00     21.00     40.31     -5.89 
     -0.00      0.00     22.00     22.00     42.31     -5.96 
     -0.00      0.00     24.01     23.00     44.31     -5.51 
     -0.00      0.00     26.01     24.00     46.31     -4.55 
     -0.00      0.00     28.00     25.00     48.32     -4.23 
     -0.00      0.00     30.01     26.00     50.31     -3.96 
     -0.00      0.00     32.00     27.00     52.31     -2.54 
     -0.00      0.00     34.00     28.00     54.30     -2.59 
     -0.00      0.00     35.99     29.00     56.30     -2.74 
     -0.00      0.00     37.99     30.00     58.29     -3.51 
     -0.00      0.00     39.98     31.00     60.29     -5.07 
     -0.00      0.00     41.97     32.00     62.29     -7.22 
     -0.00      0.00     43.98     33.00     64.30     -9.46 
     -0.00      0.00     45.98     34.00     66.31    -11.16 
     -0.00      0.00     47.99     35.00     68.32    -12.43 
      0.00      0.00     50.00     36.00     68.32    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.01     -0.01    -17.99      2.00      1.99     -5.06 
      0.01      0.00    -16.04      3.00      4.07     -5.71 
     -0.03     -0.02    -14.02      4.00      6.11     -7.68 
     -0.04     -0.04    -12.02      5.00      8.14     -9.46 
     -0.03     -0.04    -10.00      6.00     10.19    -10.91 
      0.01     -0.02     -8.00      7.00     12.21    -10.42 
      0.02      0.00     -6.02      8.00     14.29    -10.65 
     -0.01      0.00     -3.98      9.00     16.32    -11.44 
     -0.01     -0.02     -1.97     10.00     18.33     -9.86 
      0.00     -0.01      0.02     11.00     20.31     -7.96 
     -0.00     -0.00      1.99     12.00     22.31     -7.23 
     -0.01     -0.01      3.98     13.00     24.33     -8.83 
     -0.00     -0.00      5.99     14.00     26.35    -10.27 
     -0.00      0.00      8.01     15.00     28.34     -9.98 
     -0.00      0.00     10.00     16.00     30.36     -9.57 
     -0.00     -0.00     12.01     17.00     32.37     -9.67 
      0.00      0.00     14.02     18.00     34.36     -8.29 
     -0.00      0.00     16.00     19.00     36.37     -7.33 
     -0.00      0.00     18.02     20.00     38.36     -7.15 
     -0.00      0.00     20.00     21.00     40.36     -5.89 
     -0.00      0.00     22.00     22.00     42.37     -5.96 
     -0.00      0.00     24.01     23.00     44.37     -5.51 
     -0.00      0.00     26.01     24.00     46.36     -4.55 
     -0.00      0.00     28.00     25.00     48.38     -4.23 
     -0.00      0.00     30.02     26.00     50.37     -3.95 
     -0.00      0.00     32.00     27.00     52.37     -2.54 
     -0.00      0.00     34.00     28.00     54.36     -2.59 
     -0.00      0.00     35.99     29.00     56.35     -2.74 
     -0.01      0.00     37.98     30.00     58.34     -3.50 
     -0.01      0.00     39.97     31.00     60.34     -5.06 
     -0.00      0.00     41.97     32.00     62.35     -7.21 
     -0.00      0.00     43.97     33.00     64.36     -9.46 
     -0.00      0.00     45.98     34.00     66.37    -11.16 
     -0.00      0.00     47.99     35.00     68.38    -12.43 
      0.00      0.00     50.00     36.00     68.38    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.01     -0.01    -17.99      2.00      1.98     -5.06 
      0.01      0.00    -16.05      3.00      4.08     -5.69 
     -0.03     -0.02    -14.02      4.00      6.12     -7.66 
     -0.05     -0.04    -12.02      5.00      8.16     -9.44 
     -0.03     -0.05    -10.00      6.00     10.23    -10.89 
      0.01     -0.03     -8.00      7.00     12.25    -10.41 
      0.03      0.00     -6.02      8.00     14.34    -10.65 
     -0.02      0.00     -3.98      9.00     16.37    -11.43 
     -0.01     -0.02     -1.97     10.00     18.39     -9.84 
      0.00     -0.01      0.02     11.00     20.37     -7.96 
     -0.00     -0.00      1.99     12.00     22.36     -7.23 
     -0.01     -0.01      3.97     13.00     24.39     -8.82 
     -0.00     -0.00      5.99     14.00     26.41    -10.27 
     -0.00      0.00      8.01     15.00     28.40     -9.98 
     -0.00      0.00     10.00     16.00     30.43     -9.57 
     -0.00     -0.00     12.02     17.00     32.43     -9.67 
      0.00      0.00     14.02     18.00     34.42     -8.29 
     -0.00      0.00     16.00     19.00     36.43     -7.33 
     -0.00      0.00     18.02     20.00     38.42     -7.15 
     -0.00      0.00     20.00     21.00     40.42     -5.89 
     -0.00      0.00     22.00     22.00     42.44     -5.96 
     -0.00      0.00     24.01     23.00     44.43     -5.51 
     -0.00      0.00     26.01     24.00     46.43     -4.55 
